Name,Address,RATING,CURRENT,RISK
Gyro Shack (mobile 9B),2203 S 20th St,EXCELLENT,01/19/18,MEDIUM
HAPPY BAR,601 N 16 ST,STANDARD,02/02/18,LOW
HARDEE'S,12424 L ST,EXCELLENT,01/29/18,MEDIUM
HAVANA GARAGE,1008 HOWARD ST,EXCELLENT,12/27/17,LOW
HOMY INN,1510 N SADDLE CREEK RD,STANDARD,01/22/18,LOW
HOPE SKATE,2200 N 20 ST,EXCELLENT,08/28/17,LOW
Hamilton Food Mart,4901 HAMILTON ST,STANDARD,12/29/17,LOW
Hive Lounge,1207 HARNEY ST,EXCELLENT,01/05/18,LOW
I C C Bowlatorium,2701 S 25th,EXCELLENT,11/30/17,LOW
IMMANUEL VILLAGE STORE,6803 N 68 PLZ,EXCELLENT,11/01/17,LOW
INTERLUDE LOUNGE,7643 PACIFIC ST,STANDARD,10/16/17,LOW
Island Blend,4512 S 132nd St,STANDARD,02/08/18,MEDIUM
J D's Circle In,3602 S 31st,STANDARD,02/09/18,LOW
JAKE'S MINI MART,8320 BLONDO ST,STANDARD,01/17/18,LOW
JC Penney Store #911,800 N 98 ST,EXCELLENT,01/18/18,LOW
JERRY'S BAR,6301 MILITARY AVE,STANDARD,11/08/17,LOW
JESSE'S PLACE,2311 N 24 ST,EXCELLENT,08/04/17,LOW
Jake's Cigars and Spirits,6206 MAPLE ST,EXCELLENT,09/27/17,LOW
Jalali Mart,2604 S 13th St,STANDARD,09/07/17,LOW
Jen's Busy Bites,5801 Oak Hills Dr,EXCELLENT,01/30/18,MEDIUM
Jenny Craig,325 N 78 ST,EXCELLENT,01/10/18,LOW
Jerusalem Grocery,2455 S 120th St,STANDARD,02/14/18,MEDIUM
Jimmy John's #778,107 N 40th Ste 1,EXCELLENT,02/02/18,MEDIUM
KELCEY'S,2529 RIVER RD DR-WATERLOO,STANDARD,01/18/18,LOW
Keith's Amoco #1 Inc,5220 N 90th,EXCELLENT,02/07/18,LOW
Kellys Package Liquor,3501 N 30th St,STANDARD,10/02/17,LOW
Kiewit,12720 I ST,STANDARD,08/10/17,LOW
Knolls Golf Course,11630 Sahler ST,EXCELLENT,09/20/17,LOW
Krug Park,6205 MAPLE ST,EXCELLENT,09/19/17,LOW
LEAVENWORTH BAR,4556 LEAVENWORTH ST,EXCELLENT,02/01/18,LOW
LIBRARY PUB,5142 N 90 ST,STANDARD,12/06/17,LOW
LITTLE POLONIA BAR,3804 Q ST,EXCELLENT,06/05/17,LOW
Love's Jazz & Art Center,2510 N 24th ST,EXCELLENT,10/06/17,LOW
MILLARD DAIRY QUEEN,5071 S 136 ST,EXCELLENT,01/29/18,MEDIUM
MILT'S GOLF CENTER INC.,6402 Q ST,STANDARD,10/17/17,LOW
MINABELLA BEAUTY RESORT,366 N 114 ST,STANDARD,10/10/17,LOW
MS Petroleum,5608 Ames Ave,EXCELLENT,01/05/18,LOW
Mega Saver,3223 N 108th ST,STANDARD,02/08/18,MEDIUM
Midtown Reality Coffee,1416 N Saddle Creek Rd,EXCELLENT,02/02/18,LOW
Midwest Oriental Foods & Gifts,2920 S 84th ST,EXCELLENT,02/07/18,MEDIUM
Millionaire Minds/Reign Lounge,8919 N 30th St,EXCELLENT,08/25/17,LOW
Miracle Hill Golf & Tennis,1401 N 120th ST,EXCELLENT,11/14/17,LOW
Mister Toad/Abco Corp,1002 Howard ST,STANDARD,01/18/18,LOW
Moran Westwood Cinema Inc.,2809 S 125th AVE,EXCELLENT,01/31/18,LOW
Mug Life Coffee Lab,2452 Harney ST,EXCELLENT,02/14/18,MEDIUM
Murphy Express #8811,4111 S 132nd St,STANDARD,10/04/17,LOW
My Pie Pizza, 1303 S 72nd St,STANDARD,02/14/18,MEDIUM
NORTH SHORE TAVERN,10148 MAPLE ST,STANDARD,01/02/18,LOW
NORTHERN TOOL & EQUIPMENT,7202 PACIFIC ST,EXCELLENT,09/12/17,LOW
OMAHA STEAKS,17390 W CENTER RD,EXCELLENT,02/07/18,LOW
OMAHA STEAKS,331 N 78 ST,EXCELLENT,02/12/18,LOW
ORANGE LEAF FROZEN YOGURT,1110 S 71 ST BAY F,EXCELLENT,02/14/18,MEDIUM
Office West Lounge,1266 S 119th CT,EXCELLENT,08/29/17,LOW
Omaha Community Playhouse,6915 Cass,EXCELLENT,09/27/17,LOW
Omaha Steakshop,Eppley Airfield,EXCELLENT,12/14/17,LOW
Omaha Tropical Market,4113 S 84th St,STANDARD,11/17/17,LOW
Osteria Segreto,3910 Farnam St STE B,STANDARD,11/29/17,LOW
PAGETURNERS LOUNGE,5004 DODGE ST,EXCELLENT,11/14/17,LOW
PARLIAMENT PUB,1212 HARNEY ST STE 2,STANDARD,11/29/17,LOW
PAXTON BALLROOM,1403 FARNAM ST,EXCELLENT,12/06/17,LOW
PENTHOUSE LOUNGE,4530 S 84 ST,EXCELLENT,02/12/18,LOW
PIZZARIA DAVLO,14220 FORT ST,EXCELLENT,01/16/18,MEDIUM
PROFILE BY SANFORD,1303 S 72 ST STE 106,EXCELLENT,11/02/17,LOW
