Name,Address,RATING,CURRENT,RISK
Burger King #1010,4900 L ST,EXCELLENT,12/20/18,MEDIUM
Burger King #11279,4202 D ST,STANDARD,11/6/18,MEDIUM
Burger King #12567,6602 N 99 ST,EXCELLENT,5/29/18,MEDIUM
Burger King #13724,2615 S 177 ST,EXCELLENT,11/8/18,MEDIUM
Burger King #14221,3001 S 144 ST,EXCELLENT,1/4/19,MEDIUM
Burger King #14345,695 N 204th AVE,EXCELLENT,8/30/18,MEDIUM
Burger King #16068,330 N 168th CIR,EXCELLENT,1/2/19,MEDIUM
Burger King #16252,6406 N 72nd St,STANDARD,5/29/18,MEDIUM
Burger King #2949,7606 M 30th ST,STANDARD,5/30/18,MEDIUM
Burger King #3489,14404 W Center RD,EXCELLENT,1/11/19,MEDIUM
Burger King #3542,5222 S 138th ST,EXCELLENT,1/9/19,MEDIUM
Burger King #3864,11940 W Center RD,EXCELLENT,2/21/18,MEDIUM
Burger King #3934,1902 N 72nd ST,EXCELLENT,8/8/18,MEDIUM
Burger King #3939,5155 Center ST,EXCELLENT,2/26/18,MEDIUM
Burger King #4062,2912 Dodge ST,EXCELLENT,2/14/18,MEDIUM
Burger King #4063,7640 Dodge ST,STANDARD,5/16/18,MEDIUM
Burger King #4113,4502 N 30 ST,STANDARD,7/30/18,MEDIUM
Burger King #477,4404 N 60th ST,EXCELLENT,12/11/18,MEDIUM
Burger King #500,3222 N 90 ST,EXCELLENT,5/17/18,MEDIUM
Burger King #5494,10706 Emmet ST,EXCELLENT,6/4/18,MEDIUM
Burger King #5628,2319 S 13th ST,EXCELLENT,1/24/19,MEDIUM
Burger King #800,4460 Dodge ST,EXCELLENT,2/16/18,MEDIUM
Burger King #801,11325 W Dodge RD,EXCELLENT,11/6/18,MEDIUM
Burger King #8560,13750 W MAPLE RD,EXCELLENT,6/13/18,MEDIUM
Burger King #8625,7205 Ontario ST,EXCELLENT,1/30/18,MEDIUM
Burger King #897,5049 S 108th ST,EXCELLENT,2/14/18,MEDIUM
Burger King #906,4313 S 24 ST,EXCELLENT,12/31/18,MEDIUM
BURGER THEORY,1420 CUMING ST,STANDARD,8/2/18,HIGH
Burgerim, 225 N 12 ST  STE 130 ,STANDARD,12/7/18,MEDIUM
Burke High School,12000 BURKE ST,SUPERIOR,10/5/18,HIGH
BURKE'S PUB,6117 MAPLE ST,EXCELLENT,8/27/18,LOW
Burlington League,1002 S 10 ST,EXCELLENT,10/24/18,HIGH
BURNZZZ, 504 N 33RD ST OMAHA,STANDARD,9/26/18,HIGH
BURRITO ENVY & TEQUILA BAR,6113 MAPLE ST,EXCELLENT,8/24/18,HIGH
BUSHWACKERS - RALSTON,7401 MAIN ST,FAIR,11/30/18,HIGH
Bushwood Lounge,711 N 114TH,EXCELLENT,8/13/18,LOW
Butterfish,3901 Farnam St,STANDARD,11/27/18,HIGH
Cabana Coffee/Coffee Cart Co-Century link,455 N 10 ST,EXCELLENT,7/26/18,LOW
Cabin Bar & Grill,9226 Morman Bridge RD,EXCELLENT,10/23/18,HIGH
CADDY SHACK (THE),2076 N 117 AVE,STANDARD,8/21/18,HIGH
Cafe Z LLC,1299 FARNAM ST,EXCELLENT,10/10/18,HIGH
Cafe Z LLC,825 S 169 St,STANDARD,12/7/18,HIGH
Cafe Le Fleur, 14242 Fort St  Ste 109 ,STANDARD,12/11/18,HIGH
Cafe Z LLC,2203 S 16 ST,EXCELLENT,1/14/19,HIGH
Caitlin Magnet School,12736 MARINDA ST,SUPERIOR,9/11/18,HIGH
CAJUN KITCHEN,2819 N 30 ST,EXCELLENT,8/17/18,HIGH
CAKE BOX (THE),501 S 11 ST,EXCELLENT,1/2/19,MEDIUM
CAKE BY THE POUND,5913 MAPLE ST,EXCELLENT,10/26/18,HIGH
Cake Creations Omaha,1119 S 119 ST,EXCELLENT,5/1/18,MEDIUM
CAKE GALLERY (THE),8247 HASCALL,STANDARD,3/13/18,MEDIUM
CALABAR,6801 RAILROAD AVE,FAIR,8/24/18,HIGH
California Bar,510 N 33 ST,STANDARD,7/25/18,LOW
CALIFORNIA TACO'S & MORE,3235 CALIFORNIA ST,FAIR,10/17/18,HIGH
Cambria Hotel Omaha,740 N 14 St,STANDARD,1/18/19,HIGH
CAMELOT FRIENDSHIP CENTER,9270 CADY AVE,EXCELLENT,6/14/18,MEDIUM
Campus Grind (The), 6640 Pine St  Ste 100 ,EXCELLENT,10/18/18,MEDIUM
CANDLELIGHT LOUNGE (THE),5031 GROVER ST,EXCELLENT,12/26/18,HIGH
CANDY WRAPPERS,2718 S 123 CT,EXCELLENT,8/28/18,LOW
CANDYOPOLIS,10000 CALIFORNIA ST,EXCELLENT,12/4/17,LOW
CANDYOPOLIS,3001 S 144 ST STE B11,EXCELLENT,10/31/18,LOW
Cantina El Sol,2332 S 24th St,STANDARD,1/25/19,LOW
CANTINA LAREDO #133,120 S 31 AVE STE 5107,EXCELLENT,11/26/18,HIGH
CARIBBEAN DELIGHTS,2304 N 72 ST,STANDARD,8/13/18,HIGH
CARNICERIA LA HIDALGUENSE,3302 Q ST,EXCELLENT,7/31/18,HIGH
CARNICERIA MEXICO,3912-3914 Q ST,STANDARD,9/28/18,HIGH
CARRABBA'S ITALIAN GRILL,14520 W MAPLE ST,EXCELLENT,10/10/18,HIGH
Carson's Cookie Fix,763 N 114 ST,STANDARD,8/2/18,LOW
Carson's Cookie Fix - Mobile,763 N 114 ST,STANDARD,8/16/18,LOW
CASCIO'S STEAK HOUSE,1620 S 10 ST,STANDARD,9/17/18,HIGH
Casey's General Store #2886,1202 S 13 ST,EXCELLENT,1/2/19,MEDIUM
Casey's General Store #2985,5120 S 118th ST,STANDARD,12/5/18,MEDIUM
Casey's General Store #2986,9905 Q ST,EXCELLENT,9/26/18,MEDIUM
Casey's General Store #2987,15275 Weir Plaza,FAIR,11/13/18,MEDIUM
Casey's General Store #3206,210 E REICHMUTH RD-VALLEY,EXCELLENT,8/8/18,MEDIUM
Casey's General Store #3334,5920 F ST,STANDARD,3/22/18,MEDIUM
Casey's General Store #3605,7141 N 156 ST,EXCELLENT,12/6/18,MEDIUM
CASTELAR ELEMENTARY,2316 S 18 ST,SUPERIOR,11/2/18,HIGH
CASTLE BARRETT,4330 LEAVENWORTH ST,EXCELLENT,1/22/19,MEDIUM
Casual Pint,8718 Countryside PLZ,EXCELLENT,6/26/18,MEDIUM
CATER OMAHA FEATURING PARADISE,1819 FARNAM ST,EXCELLENT,1/4/19,HIGH
CATERING CREATIONS,1915 JACKSON ST,STANDARD,9/4/18,HIGH
CATEUS PITA,7211 FARNAM ST STE B,EXCELLENT,9/6/18,HIGH
CATHOLIC SOKOL HALL,4206 S 13 ST,EXCELLENT,3/21/18,LOW
CEDAR,8726 COUNTRY SIDE PLZ,EXCELLENT,12/12/17,LOW
Central High School,124 N 20 ST,SUPERIOR,8/21/18,HIGH
Central Park Elementary,4904 N 42 ST,EXCELLENT,9/26/18,HIGH
Chaikhana,2329 N 90 St,EXCELLENT,12/21/18,HIGH
CHAIMA,5060 S 107 ST,STANDARD,10/25/18,HIGH
CHAIMA (Mobile),5060 S 107 ST,STANDARD,6/28/18,MEDIUM
Champions Run,13800 EAGLE RUN DR,EXCELLENT,1/22/19,HIGH
Chance Ridge Event Center,508 N Skyline Rd,EXCELLENT,1/9/19,MEDIUM
CHANDLER VIEW SCHOOL,7800 S 25 ST,SUPERIOR,11/15/18,HIGH
Charleston's,7540 DODGE ST,EXCELLENT,9/26/18,HIGH
CHARLESTON'S RESTAURANT,13851 FIRST NATL BK PKWY,EXCELLENT,11/8/18,HIGH
Charley's Grilled Subs,3001 S 144th St #608,EXCELLENT,1/18/19,MEDIUM
Charlies On The Lake,4150 S 144 ST,EXCELLENT,1/8/19,HIGH
Charred,1150 Sterling Ridge Dr,EXCELLENT,8/21/18,HIGH
CHARTWELLS @ COLLEGE OF ST MARY'S,7000 MERCY RD,EXCELLENT,9/14/18,HIGH
CHEDDAR'S CASUAL CAFÉ,12152 L ST,STANDARD,11/9/18,HIGH
Cheesecake Factory Inc.,10120 CALIFORNIA,EXCELLENT,12/6/18,HIGH
CHEF HATTAM CATERING,1228 S 6th ST,EXCELLENT,11/28/18,HIGH
Chef Mario's Cube,4524 S 84th St,EXCELLENT,1/16/19,HIGH
CHI Health Center Omaha,455 N 10 ST,EXCELLENT,11/8/18,HIGH
Chicago Dawg (Freedom Trailer), 40 Arena Way #11  CB ,STANDARD,,MEDIUM
Chicago Dawg (Wells Cargo),3232 L St,STANDARD,9/26/18,MEDIUM
CHICK - FIL - A,17501 W CENTER RD,EXCELLENT,5/15/18,MEDIUM
CHICK - FIL - A,7575 DODGE ST,STANDARD,9/6/18,MEDIUM
CHICK - FIL - A,12310 W DODGE RD,EXCELLENT,11/1/18,MEDIUM
Chick-fil-a @ Sorensen Park Plaza,6310 N 72nd ST,EXCELLENT,12/7/18,MEDIUM
CHILDREN'S HOSPITAL,8200 DODGE ST,EXCELLENT,11/29/18,HIGH
CHILI'S SW GRILL & BAR,3202 S 143 PLZ,EXCELLENT,11/16/18,HIGH
CHILTEPES RESTAURANT,4833 S 24TH ST,EXCELLENT,1/16/19,HIGH
CHINA 1,3125 N 108 ST,EXCELLENT,10/26/18,HIGH
CHINA BISTRO,13748 P ST,FAIR,12/14/18,HIGH
CHINA BUFFET,737 N 114 ST,STANDARD,7/23/18,HIGH
CHINA BUFFET,3605 N 147 ST,FAIR,11/27/18,HIGH
China Garden,8441 W Center Rd,FAIR,9/5/18,HIGH
CHINA PALACE RESTAURANT,661 N 46 ST,FAIR,8/1/18,HIGH
CHINA SONG CUISINE,4210 F ST,EXCELLENT,10/11/18,HIGH
CHINA STAR BUFFET,9527 Q ST,STANDARD,11/27/18,HIGH
CHINA TASTE,1702 CUMING ST,FAIR,12/10/18,HIGH
China Wok,12005 W Center Rd #96,EXCELLENT,8/1/18,HIGH
Chipotle,2717 S 177th ST,EXCELLENT,4/24/18,MEDIUM
CHIPOTLE,13203 W CENTER RD,EXCELLENT,7/18/18,MEDIUM
Chipotle Mexican Grill,201 S 72 ST,EXCELLENT,6/14/18,MEDIUM
Chipotle Mexican Grill, 3605 N 147 ST  Ste 111 ,EXCELLENT,7/2/18,MEDIUM
Chocolat Abeille,421 S 114th St,EXCELLENT,1/8/19,MEDIUM
Choo Choo Bar & Grill,14240 U ST,STANDARD,8/2/18,HIGH
CHOP STICK HOUSE,5522 N 103 ST,STANDARD,1/10/19,HIGH
CHOPS BOWLING ENT INC,2518 S 13 ST,EXCELLENT,7/26/18,MEDIUM
CHRIST THE KING SCHOOL,831 S 88 ST,SUPERIOR,9/6/18,HIGH
CHROME LOUNGE,8552 PARK DR,STANDARD,11/30/18,LOW
CHUBB FOODS,2905 N 16 ST,EXCELLENT,11/27/18,HIGH
CHUCK E CHEESE,225 N 76 ST,STANDARD,8/7/18,MEDIUM
Churro Spot,1619 Vinton St,EXCELLENT,11/8/18,HIGH
Churro Truck,1619 Vinton St,FAIR,6/13/18,MEDIUM
Cilantros Mexican Bar & Grill,14440 I St #113,STANDARD,9/3/18,HIGH
Cilantros Mexican Restaurant,7515 PACIFIC ST,STANDARD,12/20/18,HIGH
Cilantros NE,646 N 114 ST,EXCELLENT,10/31/18,HIGH
Clancy's,2905 S 168 ST,EXCELLENT,11/29/18,HIGH
CLARKSON COLLEGE BOOKSTORE,101 S 42 ST,EXCELLENT,12/17/18,LOW
CLASSIC ROCK COFFEE,3912 N 72 ST,EXCELLENT,9/20/18,MEDIUM
CLEVER GREENS,10000 CALIFORNIA ST SFC01,EXCELLENT,7/26/18,MEDIUM
CLUB 5216,5216 N 24 ST,STANDARD,11/26/18,LOW
CLUBHOUSE LOUNGE,3936 N 90 ST,EXCELLENT,4/30/18,LOW
COHEN & KELLY'S LOUNGE,13075 W CENTER RD,EXCELLENT,7/23/18,LOW
COLD STONE CREAMERY,455 N 10 ST,STANDARD,1/9/19,MEDIUM
COLD STONE CREAMERY,17304 DAVENPORT,EXCELLENT,6/4/18,MEDIUM
COLD STONE CREAMERY,3220 FARNAM ST,STANDARD,6/26/18,MEDIUM
COLD STONE CREAMERY,2055 N 120 ST,EXCELLENT,9/7/18,MEDIUM
COLD STONE CREAMERY,2425 S 67 St,STANDARD,10/19/18,MEDIUM
COLUMBIAN ELEM SCHOOL,330 S 127 ST,SUPERIOR,9/11/18,HIGH
Comfort Inn,10726 J St,EXCELLENT,1/9/19,LOW
Comfort Inn,2920 S 13 CT,EXCELLENT,3/14/18,MEDIUM
Comfort Inn & Suites,7007 GROVER ST,EXCELLENT,12/10/18,HIGH
Comfort Suites,10503 BEDFORD AVE,EXCELLENT,5/25/18,MEDIUM
Comfort Suites West Omaha,2500 S 192 AVE,EXCELLENT,3/8/18,MEDIUM
COMMUNITY ALLIANCE INC,4001 LEAVENWORTH ST,EXCELLENT,5/1/18,MEDIUM
COMMUNITY ALLIANCE INC,7117 JONES ST,EXCELLENT,11/5/18,MEDIUM
Compayes Taco N Madre,3302 Q ST,FAIR,10/24/18,HIGH
COMPLETE NUTRITION,1110 S 71 ST,STANDARD,4/11/18,LOW
COMPLETE NUTRITION,15805 W MAPLE RD #104,STANDARD,4/30/18,LOW
COMPLETE NUTRITION,16950 WRIGHT PLZ STE 105,STANDARD,6/5/18,LOW
COMPLETELY KIDS,2566 ST MARY'S AVE,EXCELLENT,9/22/17,MEDIUM
CONEFLOWER CREAMERY,3921 FARNAM ST,EXCELLENT,8/15/18,MEDIUM
CONESTOGA SCHOOL CAFETERIA,2115 BURDETTE ST,SUPERIOR,10/17/18,HIGH
CONVENIENT WORLD,2302 S 20 ST,EXCELLENT,9/13/18,LOW
COOKIE COMPANY (THE),10000 CALIFORNIA ST,EXCELLENT,6/4/18,LOW
COOKIES BY DESIGN,14451 W CENTER RD,EXCELLENT,7/18/18,MEDIUM
Cooler (The),2323 N 24th St,EXCELLENT,3/12/18,MEDIUM
COOLER (THE) Mobile,2323 N 24th St,EXCELLENT,6/29/18,MEDIUM
COPACABANA,17520 WRIGHT ST STE 107-108,EXCELLENT,12/26/17,LOW
Cordial Cherry (The), 16939 Wright Plz  Ste 143 ,EXCELLENT,3/16/18,LOW
CORKSCREW WINE & CHEESE,3908 FARNAM ST,STANDARD,9/18/18,HIGH
CORKSCREW WINE & CHEESE,10924 PRAIRIE BROOK RD,EXCELLENT,4/24/18,MEDIUM
Corky Canvas/Corky Boards, 3157 Farnam St,EXCELLENT,2/14/18,LOW
CORNER POCKET,4201 S 38 ST,STANDARD,5/24/18,LOW
CORRIGAN MULTI-PUR SENIOR CT,3819 X ST,EXCELLENT,7/20/18,MEDIUM
CORVETTE CAFÉ (THE),17750 BURT ST,EXCELLENT,9/19/18,HIGH
COST PLUS WORLD MARKET,12200 K PLZ,EXCELLENT,10/26/18,MEDIUM
COSTA EL SOL,4454 S 84 ST,STANDARD,10/10/18,HIGH
COSTCO WHOLESALE,12300 W DODGE RD,EXCELLENT,1/22/19,HIGH
COTTONWOOD ELEMENTARY,615 PIEDMONT DR,SUPERIOR,8/22/18,HIGH
COURTYARD BY MARRIOTT,101 S 10 ST,EXCELLENT,1/10/19,HIGH
Cove Lounge & Grille,3525 N 147 ST,EXCELLENT,9/20/18,HIGH
Craft Sliders & Beer, 1213 Harney St,EXCELLENT,11/14/18,HIGH
CRANE COFFEE,5923 CENTER ST,STANDARD,1/8/19,MEDIUM
CRANE COFFEE,15310 WEIR ST,EXCELLENT,5/30/18,MEDIUM
CRANE COFFEE,7772 CASS ST,EXCELLENT,6/18/18,MEDIUM
CRANE COFFEE,1209 S 119 ST,EXCELLENT,10/1/18,MEDIUM
CRANE COFFEE,3027 S 84 ST,EXCELLENT,11/27/18,MEDIUM
CRANE COFFEE/CHILDREN'S HOSPITAL,8200 DODGE ST,STANDARD,9/26/17,LOW
CRANE COFFEE/METHODIST HOSPITAL,8303 DODGE ST,EXCELLENT,11/5/18,MEDIUM
Creighton Prep FLIK Independent School Dining,7400 WESTERN AVE,EXCELLENT,9/18/18,HIGH
Creighton Student Center,2500 CALIFORNIA ST,EXCELLENT,11/7/18,HIGH
Creighton University Harper Center,602 N 20th,EXCELLENT,11/6/18,HIGH
Creighton University/Ryan Sokol Center,701 FLORENCE BLVD,EXCELLENT,4/16/18,MEDIUM
CRESCENT MOON ALE HOUSE,3578 FARNAM ST,STANDARD,7/24/18,HIGH
Crestridge Elementary,818 CRESTRIDGE DR,SUPERIOR,9/10/18,HIGH
Crossbones Bar,5611 S 36th St,EXCELLENT,11/15/17,LOW
CROWN POINTE,2820 S 80 ST,EXCELLENT,11/16/18,HIGH
Cruisers Bar & Grill,8634 F ST,EXCELLENT,1/22/19,HIGH
Crum Cakes Bakery,8501 N 30th St,EXCELLENT,8/24/18,MEDIUM
CRYSTAL BEVERAGE MART,4807 S 20 ST,STANDARD,1/16/18,LOW
CRYSTAL JADE,7255 CEDAR ST,FAIR,10/25/18,HIGH
Cubby's Inc,15625 CW HADAN DR-BENNINGTON,STANDARD,6/22/18,MEDIUM
Cubby's Mormon Bridge,9220 MORMON BRIDGE RD,STANDARD,10/2/18,MEDIUM
Cubby's Old Market,601 S 13th ST,STANDARD,11/7/18,HIGH
CUBBY'S REDMAN,4232 REDMAN AVE,STANDARD,5/29/18,MEDIUM
Culprit Café,3201 Farnam St #6112,STANDARD,9/17/18,HIGH
Culprit Cafe and Bakery,1603 FARNAM ST,EXCELLENT,10/11/18,HIGH
CULVER'S BUTTERBURGERS,11920 MIAMI,EXCELLENT,11/30/18,MEDIUM
Culvers of SW Omaha,15255 WEIR PLZ,EXCELLENT,6/11/18,MEDIUM
CUMING FOOD MART,4002 CUMING ST,STANDARD,10/27/17,LOW
Cunninghams Pub & Grill,10904 W DODGE RD,EXCELLENT,7/17/18,HIGH
Cupcake Island,1314 S 119th St,STANDARD,3/15/18,MEDIUM
Cupcake Omaha Dundee,107 N 50 ST,EXCELLENT,7/12/18,LOW
CURRI FINE INDIAN CUISINE,1028 S 74 PLZ,EXCELLENT,10/31/18,HIGH
Cutchall Management/Famous Daves/Dominos,7300 Q ST-RALSTON,EXCELLENT,3/25/18,MEDIUM
CVS/Pharmacy #3478,2609 S 132 ST,EXCELLENT,8/15/18,LOW
CVS/Pharmacy #4929,10770 FORT ST,EXCELLENT,4/10/18,LOW
CVS/Pharmacy #5634,8315 W CENTER RD,EXCELLENT,12/13/17,LOW
CVS/Pharmacy #5714,4840 DODGE ST,EXCELLENT,3/29/18,LOW
CVS/Pharmacy #5863,14460 W MAPLE RD,EXCELLENT,5/8/18,LOW
CVS/Pharmacy #6733,1919 N 90 ST,EXCELLENT,1/2/19,LOW
CVS/Pharmavy #2931,14303 U ST,EXCELLENT,11/7/18,LOW
CZECH MUSEUM GIFT STORE & CAFÉ,7400 DODGE ST STE D11A,EXCELLENT,4/23/18,LOW
D & E Food Creations LLC,5059 S 108th St,STANDARD,1/7/19,HIGH
D & M Smokehouse (Mobile), 509 W 2nd St  Kennard  ,EXCELLENT,6/9/18,MEDIUM
D LOUIS BLACK POST 3421 VFW,3434 MCKINLEY ST,EXCELLENT,7/24/18,HIGH
D.Q. Grill & Chill,5302 S 72ND ST - RALSTON,EXCELLENT,11/19/18,MEDIUM
DAILY DINER,7171 MERCY RD #125,STANDARD,,HIGH
DAIRY CHEF,3223 N 204 ST,EXCELLENT,11/26/18,HIGH
DAIRY QUEEN, 6809 S 84 St,STANDARD,1/18/19,MEDIUM
DAIRY QUEEN,13945 GOLD CIR,EXCELLENT,3/19/18,MEDIUM
DAIRY QUEEN,13150 W MAPLE RD,EXCELLENT,4/16/18,MEDIUM
Dairy Queen,404 N 114 ST,EXCELLENT,11/6/18,HIGH
DAIRY QUEEN,17101 LAKESIDE HILLS PLZ,EXCELLENT,7/18/18,MEDIUM
DAIRY QUEEN,1922 N 72 ST,EXCELLENT,8/24/18,MEDIUM
DAIRY QUEEN,20452 CUMBERLAND,EXCELLENT,9/18/18,MEDIUM
Dairy Queen/Orange Julius,10000 CALIFORNIA,EXCELLENT,2/15/18,MEDIUM
Dairy Queen/Orange Julius,3001 So 144th ST,EXCELLENT,3/13/18,MEDIUM
DANNYS BAR & GRILL,2007 N 72 ST,EXCELLENT,11/29/18,HIGH
Danny's Corner Store,3301 California St,STANDARD,2/14/18,LOW
Dante Pizzeria,3852 Farnam St,STANDARD,8/13/18,HIGH
DANTE'S PIZZA,16901 WRIGHT PLZ STE 173-178,EXCELLENT,12/21/18,HIGH
DARBYS TAVERN,6503 SUNSHINE DR,FAIR,8/31/18,HIGH
DARIO'S Brasserie,4920 UNDERWOOD,EXCELLENT,10/10/18,HIGH
DAVE & BUSTER'S,2502 S 133 PLZ,EXCELLENT,11/20/18,HIGH
DAVIS MIDDLE SCHOOL,8050 N 129 ST,SUPERIOR,8/29/18,HIGH
DAYS INN & SUITES,11515 MIRACLE HILLS DR,EXCELLENT,7/30/18,LOW
DC CENTRE,11830 STONEGATE CIR,EXCELLENT,8/10/18,HIGH
DCS Group,2828 S 87 AVE,EXCELLENT,7/31/18,HIGH
Deer Creek Tavern,12221 MARY PLZ STE 104,STANDARD,11/16/18,HIGH
DEJA VU LOUNGE,1021 S 178 ST,STANDARD,12/24/18,MEDIUM
DELLA COSTA LLC,220 S 31 AVE #3103,EXCELLENT,9/7/18,HIGH
DENNY'S RESTAURANT #6635,3509 S 84 ST,STANDARD,8/29/18,HIGH
Diamond Room,605 N 13 ST,EXCELLENT,5/17/18,LOW
Dickey's BBQ Pit,12241 W Center RD,EXCELLENT,8/21/18,HIGH
Dickey's BBQ Pit,15825 W Maple Rd,STANDARD,9/21/18,HIGH
DICK'S VALLEY MARKET,111 E GARDINER ST-VALLEY,STANDARD,1/16/19,HIGH
Dillon Brother's Harley Davidson,3838 N HWS Cleveland Blvd,EXCELLENT,12/27/18,LOW
DINAH MART 3,4854 Q ST,STANDARD,2/13/18,LOW
DINING ROOM AT UP (THE),1400 DOUGLAS ST,EXCELLENT,10/4/18,HIGH
Dinkers Inc.,2368 S 29 ST,EXCELLENT,10/9/18,HIGH
DISABLED AMERICAN VETERANS,4515 F ST,STANDARD,2/7/18,MEDIUM
Dismas Charities Omaha,506 Crown Point Ave,EXCELLENT,8/9/18,HIGH
DIVINO CAFE,3169 LEAVENWORTH ST,EXCELLENT,4/9/18,MEDIUM
DJ 'S DUGOUT,2102 S 67th ST,EXCELLENT,12/12/18,HIGH
DJ 'S DUGOUT,1003 CAPITAL AVE,EXCELLENT,7/31/18,HIGH
DJ 'S DUGOUT,17666 WELCH PLZ,STANDARD,9/14/18,HIGH
DJ's Dugout,777 N 114th,EXCELLENT,10/31/18,HIGH
D'Leon's,11345 DAVENPORT ST,STANDARD,1/14/19,HIGH
D'Leon's Mobile Truck,711 N SADDLE CREEK RD,STANDARD,,MEDIUM
D'Leon's Taco Rico,711 N SADDLE CREEK RD,STANDARD,8/7/18,HIGH
D'Leon's Taco Rico Mexican Food,3465 L ST,STANDARD,10/26/18,HIGH
DOC'S LEGACY LOUNGE,3922 AMES AVE,EXCELLENT,7/21/17,LOW
DOG HOUSE SALOON,307 3 ST-WATERLOO,STANDARD,1/22/19,HIGH
Dogs in the Park,14208 S St,STANDARD,4/12/18,MEDIUM
Doha Grocery LLC,1130 NW RADIAL HWY,STANDARD,11/2/18,MEDIUM
DOLCE,12317 W MAPLE RD,EXCELLENT,9/27/18,HIGH
DOLCI,1003 HOWARD ST,EXCELLENT,5/23/18,MEDIUM
Dollar General #10825,8520 Park DR,STANDARD,1/3/18,LOW
Dollar General #16149, 27800 IDA ST  VALLEY ,EXCELLENT,7/10/18,LOW
Dollar General #19184,5033 S 24th St,STANDARD,9/11/17,LOW
Dollar General #4570,5470 N 90 ST,STANDARD,4/12/18,LOW
Dollar General #4858,2929 N 108 ST,EXCELLENT,9/27/18,LOW
Dollar General #7382,3110 N 90 ST,EXCELLENT,11/16/17,LOW
Dollar General #7383,5636 AMES AVE,EXCELLENT,9/25/17,LOW
Dollar General #7871,4869 L ST,EXCELLENT,1/16/18,LOW
Dollar General Store #7630,13905 S PLZ,STANDARD,11/9/18,LOW
Dollar Tree,2930 K ST,EXCELLENT,1/15/19,MEDIUM
Dollar Tree #5577,5230 S 136 ST,STANDARD,1/3/19,LOW
Dollar Tree #5873,3120 S 24 ST,STANDARD,4/9/18,MEDIUM
Dollar Tree #6142,14615 W Maple RD STE 5,EXCELLENT,1/5/18,LOW
Dollar Tree #6186,7415 DODGE ST,STANDARD,8/1/18,LOW
Dollar Tree #7122,9955 Redick Circle,STANDARD,11/5/18,LOW
Dollar Tree Store #07478,3515 S 84th St,STANDARD,7/17/18,LOW
Dollar Tree Store #2308,3066 N 90th ST,STANDARD,1/2/19,LOW
Dollar Tree Store #2525,7402 N 30 ST,STANDARD,4/17/18,LOW
Dollar Tree Store #2806,12303 W CENTER RD,EXCELLENT,4/23/18,LOW
DOLPHIN'S CAR WASH,2511 S 140 ST,EXCELLENT,2/13/18,LOW
Dominos,3818 N 156th ST,EXCELLENT,11/26/18,MEDIUM
Domino's 6698,323 N 114th ST,STANDARD,10/19/18,MEDIUM
Dominos Pizza,3439 L ST,EXCELLENT,12/19/18,MEDIUM
Dominos Pizza,7120 Military AVE,STANDARD,2/21/18,MEDIUM
Domino's Pizza,2728 St. Marys Ave,EXCELLENT,1/7/19,MEDIUM
Domino's Pizza #6122,14330 HILLSDALE DR,EXCELLENT,11/30/18,MEDIUM
Domino's Pizza- Jones St,721 S 72 ST,EXCELLENT,10/12/18,MEDIUM
Don & Millie's,16130 Evans St,EXCELLENT,12/28/18,HIGH
DON & MILLIE'S,8405 Q ST,EXCELLENT,1/25/19,HIGH
Don & Millie's,10727 W CENTER RD,EXCELLENT,10/12/18,HIGH
DON & MILLIE'S,4430 FARNAM ST,STANDARD,10/22/18,HIGH
DON CARMELOS PIZZERIA,1024 N 204 ST,EXCELLENT,9/18/18,HIGH
DON CARMELOS PIZZERIA,10821 PRAIRIE BROOK RD,EXCELLENT,5/10/18,MEDIUM
Don Gaby's Restaurant,1919 Missouri Ave,STANDARD,,HIGH
Doner King, 2505 N 24th St  Ste 409C ,STANDARD,,MEDIUM
DONOHUE'S PUB,3232 L ST,STANDARD,9/19/18,HIGH
DONUT HAVEN,13807 P ST,STANDARD,5/17/18,MEDIUM
Donut Professor,920 N 204 AVE,EXCELLENT,9/20/18,MEDIUM
Donut Professor,1919 PAPILLION PKY,EXCELLENT,7/24/18,LOW
Donut Professor,14505 W MAPLE RD #104,EXCELLENT,8/29/18,LOW
Dos De Oros (Mobile 1), 1510 Galvin Rd S  Bellvue ,STANDARD,4/24/18,MEDIUM
Dos De Oros (Mobile 2), 1510 Galvin Rd S  Bellvue ,EXCELLENT,4/24/18,MEDIUM
Doubletree Hotel & Executive Meeting Ctr,1616 DODGE ST,EXCELLENT,1/14/19,HIGH
Douger's,4401 CUMING ST,EXCELLENT,10/12/17,LOW
Douglas County Dept Of Corrections,710 S 17 ST,SUPERIOR,5/15/18,MEDIUM
DOUGLAS COUNTY HEALTH CENTER,4102 WOOLWORTH AVE,SUPERIOR,1/17/19,HIGH
DOUGLAS COUNTY WAREHOUSE,1225 S 40 ST,SUPERIOR,10/10/18,LOW
Douglas County West Community Schools, 401 S PINE ST VALLEY ,SUPERIOR,10/25/18,HIGH
DOWN UNDER LOUNGE,3530 LEAVENWORTH ST,EXCELLENT,7/27/18,LOW
DOWNTOWN FOOD MART,318 S 16 ST,EXCELLENT,1/11/19,MEDIUM
DRAGON 88,4528 N 30 ST,STANDARD,10/23/18,HIGH
DRAGON CAFÉ EXPRESS,7622 DODGE ST,STANDARD,10/16/18,HIGH
Dragon Wok, 14220 Fort St  Ste 105 ,EXCELLENT,1/11/19,HIGH
