Name,Address,RATING,CURRENT,RISK
ALL NATIONS GROCERIES,715 S 24 ST,STANDARD,8/9/18,LOW
ALPINE INN,10405 CALHOUN ROAD,STANDARD,1/16/19,HIGH
Altitude Trampoline Park - Omaha,5575 N 90 St,STANDARD,12/11/18,MEDIUM
Amateur Coffee,3913 Cuming St,EXCELLENT,2/7/18,MEDIUM
AMATO'S FOODS INC,6405 CENTER ST,EXCELLENT,9/19/18,HIGH
AMAZING PIZZA MACHINE (THE),13955 S S PLZ,EXCELLENT,12/27/18,MEDIUM
AMC OAKVIEW 24 THEATRES,3555 S 140 PLZ,STANDARD,1/31/18,MEDIUM
AMC THEATERS WESTROADS 14,10000 CALIFORNIA,EXCELLENT,12/7/18,MEDIUM
AMERICAN DREAM,7402 F ST,STANDARD,4/26/18,MEDIUM
AMERICAN G I FORUM,2002 N St,STANDARD,12/28/18,HIGH
AMERICAN ITALIAN HERITAGE SOCIETY,5110 N 132 ST,EXCELLENT,8/31/18,MEDIUM
AMERICAN LEGION POST #1,7811 DAVENPORT ST,STANDARD,5/9/18,MEDIUM
American Legion Post #373, 7400 Q St Ralston,STANDARD,8/8/18,HIGH
American Legion Post-331 S Omaha,4830 S 21 ST,STANDARD,12/21/18,HIGH
AMERICA'S BEST VALUE INN,7101 GROVER ST,STANDARD,3/16/18,MEDIUM
AmericInn Hotel & Suites,9720 W Dodge Rd,EXCELLENT,6/4/18,MEDIUM
AMES AVE CONVENIENCE,4145 AMES AVE,STANDARD,12/6/18,LOW
Amigos, 14840 EVANS PLZ OMAHA,STANDARD,4/18/18,MEDIUM
AMIGO'S,8412 WEST DODGE RD,EXCELLENT,12/14/18,MEDIUM
AMIGO'S HOT DOGS (mobile cart),5134 S 24TH ST,EXCELLENT,4/10/18,MEDIUM
AMIGO'S MARKET,2102 Q ST,STANDARD,1/11/19,HIGH
Ami's Kitchen,8501 N 30th St,EXCELLENT,12/13/18,HIGH
AMSTERDAM FALAFEL & KABOB,10000 CALIFORNIA ST SFC01,EXCELLENT,10/23/18,HIGH
AMSTERDAM FALAFEL & KABOB,620 N 50 ST,EXCELLENT,10/25/18,HIGH
ANDERSON AMOCO FOOD SHOP,11955 PACIFIC ST,EXCELLENT,10/11/17,LOW
Anderson Amoco Food Shop,15635 W DODGE RD,EXCELLENT,9/11/18,MEDIUM
Anderson Amoco Food Shops,17915 ARBOR ST,EXCELLENT,9/11/17,LOW
Anderson Amoco Food Shops,16727 Q ST,STANDARD,11/20/18,MEDIUM
Anderson Convenience Market,2630 S 140th St,EXCELLENT,10/31/18,MEDIUM
Anderson Food Shops,123 N 114 ST,STANDARD,5/16/18,MEDIUM
ANDRE'S TORTILLERY,10317 PACIFIC ST,STANDARD,11/15/18,HIGH
ANDY'S PLACE,3701 F ST,EXCELLENT,4/30/18,LOW
Annie's Irish Pub,1101 Davenport St #110,STANDARD,6/8/18,MEDIUM
Ansel's Pastrami & Bagels,4007 Farnam St,STANDARD,12/17/18,HIGH
ANTHONY PICCOLO'S MOBILE VENUE,02 S 20 ST,EXCELLENT,11/13/18,MEDIUM
ANTHONYS RESTAURANT & LOUNGE,7220 F ST,EXCELLENT,8/30/18,HIGH
Antijitos Dona Mica,3302 Q St,STANDARD,8/28/18,MEDIUM
Antojito's Jaliscienses,1837 Vinton St,STANDARD,7/26/18,MEDIUM
APOLLON,1801 VINTON ST,EXCELLENT,2/23/18,LOW
Applebee's,2829 S 181ST ST,STANDARD,9/12/18,HIGH
APPLEBEE'S NEIGH BAR/GRILL,13208 W MAPLE RD,EXCELLENT,10/9/18,HIGH
Applebee's Neighborhood Grill,7450 DODGE ST,STANDARD,8/28/18,HIGH
Applebee's Neighborhood Grill,3350 S 143 PLAZA,EXCELLENT,11/19/18,HIGH
Aramark,Eleven Con Agra DR,SUPERIOR,9/14/18,HIGH
ARBOR VIEW ELEMENTARY,5115 N 208 ST,SUPERIOR,8/28/18,HIGH
ARBORETUM ON FARNAM (THE),8141 FARNAM DR,EXCELLENT,1/7/19,HIGH
Arby's,13610 W MAPLE RD,EXCELLENT,12/5/18,MEDIUM
Arby's,5323 CENTER ST,EXCELLENT,1/9/19,MEDIUM
Arby's,5029 S 108 ST,EXCELLENT,3/17/18,MEDIUM
Arby's,17220 W CENTER RD,EXCELLENT,7/17/18,MEDIUM
Arby's, 20406 CUMBERLAND DR  ELKHORN ,EXCELLENT,8/8/18,MEDIUM
Arby's,3417 N 90 ST,EXCELLENT,8/27/18,MEDIUM
Arby's,4615 N 72 St,EXCELLENT,11/15/18,MEDIUM
Arbys #0765,4144 S 50th St,EXCELLENT,2/1/18,MEDIUM
Arby's Roast Beef,2910 S 120 ST,EXCELLENT,12/18/18,MEDIUM
Arby's Roast Beef,14145 S ST,EXCELLENT,2/5/18,MEDIUM
ARBY'S ROAST BEEF REST,8429 W CENTER RD,EXCELLENT,7/19/18,MEDIUM
Archetype Coffee,1419 S 13th St,STANDARD,8/17/18,HIGH
ARCHETYPE COFFEE,3926 FARNAM ST,STANDARD,3/12/18,MEDIUM
Aromas Coffeehouse,10000 California St,STANDARD,7/26/18,MEDIUM
Artemis Teas,1031 Jones St,STANDARD,2/16/18,LOW
ASHLAND PARK/ROBBINS ELEM,5050 S 51 ST,SUPERIOR,11/14/18,HIGH
Asian Burmese Restaurant  LLC ,5912 Ames Ave,STANDARD,9/27/18,HIGH
ASIAN FAMILY MARKET,5916 AMES AVE,STANDARD,1/16/19,HIGH
ASIAN FAMILY MARKET,1510 NW RADIAL HWY,STANDARD,9/5/18,HIGH
ASIAN MARKET,321 N 76 ST,STANDARD,2/8/18,MEDIUM
ASIAN WOK,2666 N 90 ST,EXCELLENT,12/14/18,HIGH
Astoria Indian Restaurant,5010 S 108th ST,FAIR,12/27/18,HIGH
Athenian Gyros, 210 S 16th St  Ste 108F ,STANDARD,7/30/18,HIGH
Attack-a-Taco,8706 S 9th St,,,MEDIUM
ATTITUDE ON FOOD,2405 N ST,STANDARD,1/17/19,HIGH
AU COURANT RESTAURANT,6064 MAPLE ST,EXCELLENT,8/8/18,HIGH
Auntie Anne's,10000 California #3442,EXCELLENT,12/5/17,LOW
Auntie Anne's Pretzels,3001 Oakview Mall,EXCELLENT,8/16/18,MEDIUM
AUSSIE'S PUB INC,2326 N 72 ST,EXCELLENT,8/13/18,LOW
Avoli Osteria,5013 UNDERWOOD AVE,EXCELLENT,9/26/18,HIGH
Azul Sports Bar,5132 L St,STANDARD,7/27/18,HIGH
B & B Classic Dogs,6610 S 168 ST,STANDARD,8/22/18,HIGH
B & G TASTY TREATS,7900 W DODGE RD,EXCELLENT,7/26/18,HIGH
B & T CONVENIENT & LIQUIOR STORE,2704 FLORENCE BLVD,EXCELLENT,8/29/18,LOW
B J's,4122 AMES AVE,STANDARD,6/22/18,MEDIUM
B P O ELKS LDOGE #0039,6310 S 96TH ST,EXCELLENT,1/25/19,HIGH
B.I.G. Meats Inc.,4859 S 137th ST,EXCELLENT,12/14/18,HIGH
BABY BLUE SUSHI SAKE GRILL,16939 Wright Pl #103,EXCELLENT,12/13/18,HIGH
Baela Rose,4919 Underwood AVE,EXCELLENT,1/17/19,HIGH
BAGEL BIN INC,1215-19 S 119 ST,EXCELLENT,3/29/18,MEDIUM
BAILEY'S,1259 S 120 ST,STANDARD,12/3/18,HIGH
Baked After Dark,2740 N 61st St,STANDARD,12/21/18,MEDIUM
Baker's #302,12025 W CENTER RD,EXCELLENT,8/17/18,HIGH
Baker's #311,5555 N 90 ST,STANDARD,7/31/18,HIGH
Baker's #315,13250 W MAPLE RD,EXCELLENT,1/4/19,HIGH
Baker's #316,7312 N 30 ST,STANDARD,8/22/18,HIGH
Baker's #319,888 S SADDLE CREEK RD,EXCELLENT,12/6/18,HIGH
Baker's #320,17370 Lakeside Hill,EXCELLENT,8/8/18,HIGH
Baker's #321,505 N 155 PLZ,EXCELLENT,12/5/18,HIGH
Baker's Store #301,4405 N 72 ST,EXCELLENT,9/4/18,HIGH
BALI BAR NAILS & SPA,16821 Blondo St #101,STANDARD,8/13/18,LOW
BANCROFT SCHOOL,2724 RIVERVIEW BLVD.,SUPERIOR,10/15/18,HIGH
BANGKOK KITCHEN,1905 FARNAM ST,EXCELLENT,1/4/19,HIGH
BAR 415,415 S 13 ST,EXCELLENT,8/17/18,LOW
Barchen Beer Garden,6902 N Maple St,EXCELLENT,12/4/18,LOW
BARLEY STREET TAVERN,2735 N 62 ST,EXCELLENT,6/7/18,LOW
Barn,15220 Military RD,EXCELLENT,8/29/18,LOW
BARNES & NOBLE INC,3333 OAKVIEW DRIVE,EXCELLENT,9/21/18,MEDIUM
BARNES & NOBLE SUPERSTORE,7400 DODGE STREET,EXCELLENT,3/14/18,LOW
BARRETT'S BARLEYCORN,4322 LEAVENWORTH ST,EXCELLENT,11/15/18,HIGH
BARRY O'S,420 S 10 ST,EXCELLENT,8/10/18,LOW
BASKET FOOD,4518 S 24 ST,STANDARD,10/9/18,LOW
BEACON HILLS,6750 MERCY RD STE 106,EXCELLENT,11/15/18,HIGH
BEADLE MIDDLE SCHOOL,18201 JEFFERSON ST,SUPERIOR,9/6/18,HIGH
BEALS SCHOOL CAFETERIA,1720 S 48 ST,SUPERIOR,10/25/18,HIGH
Beer Can Alley/The Exchange,1101 Davenport Plz 200-240,STANDARD,6/8/18,LOW
BEER CITY,4147 L ST,FAIR,1/2/19,LOW
BEERCADE,6104 MAPLE ST,EXCELLENT,7/20/18,LOW
BELLA VITA RISTORANTE,2620 MAIN ST,EXCELLENT,9/4/18,HIGH
BELLE RYAN SCHOOL,1807 S 60 ST,SUPERIOR,8/20/18,HIGH
BELVEDERE SCHOOL,3775 CURTIS AVE,EXCELLENT,8/24/18,HIGH
BENNINGTON ELEMENTRY,11620 OLD BENNINGTON RD,SUPERIOR,9/5/18,HIGH
BENNINGTON HIGH SCHOOL,16610 BENNINGTON RD,SUPERIOR,10/23/18,HIGH
Bennington Middle School,11201 N 168th St,SUPERIOR,9/27/18,HIGH
BENNINGTON SENIOR CENTER,322 N MOLLY ST,EXCELLENT,7/18/18,MEDIUM
Benson Brewery,6059 Maple St,EXCELLENT,10/31/18,HIGH
BENSON HIGH SCHOOL,5120 MAPLE ST,SUPERIOR,9/27/18,HIGH
BENSON PARK GOLF COURSE,5333 N 72 ST,EXCELLENT,5/1/18,LOW
Benson Theatre B Side,6058 Maple St,EXCELLENT,12/14/18,LOW
BENSON WEST SCH CAFETERIA,6652 MAPLE ST,SUPERIOR,10/22/18,HIGH
BERE'S HALL,5716 S 36 ST,FAIR,7/29/17,LOW
BERRY & RYE,1105 HOWARD ST,EXCELLENT,8/2/18,LOW
Best Bison,163 N 78th St,EXCELLENT,11/14/18,HIGH
BEST WESTERN OLD MILL,650 N 109 CT,EXCELLENT,5/31/18,LOW
BEST WESTERN PLUS KELLY INN,4702 S 108 ST,STANDARD,4/18/18,MEDIUM
BETTER BODIES INC,4117 S 120 ST,EXCELLENT,9/18/17,LOW
BEVERIDGE JR HIGH SCHOOL,1616 S 120 ST,EXCELLENT,9/13/18,HIGH
BIAGGI'S RISTORANTE ITALIANO,13655 CALIFORNIA ST,STANDARD,10/24/18,HIGH
BIG DADDY'S MINI DONUTS,4341 S 90 ST,EXCELLENT,4/6/18,MEDIUM
BIG FRED LOUNGE AND PIZZA,1101 S 119 ST,STANDARD,12/3/18,HIGH
Big Green Q (Mobile Unit),6023 MAPLE ST,EXCELLENT,9/26/18,MEDIUM
BIG JIM'S PLUS,3024 AMES ANE,STANDARD,10/2/18,LOW
BIG JOHN'S BILLIARDS INC,9819 M ST,EXCELLENT,1/8/19,HIGH
Big Kahuna Kettle Corn,7170 Bennington RD,STANDARD,6/18/18,MEDIUM
Big Lots #4544,6516 N 72nd ST,EXCELLENT,8/6/18,LOW
Big Lots #4624,717 S 72nd ST,EXCELLENT,11/9/17,LOW
BIG MAMA'S KITCHEN & CATERING,3223 N 45th ST,EXCELLENT,7/25/18,HIGH
BIG RED KENO BAR & GRILL,8100 Cass,STANDARD,12/12/18,HIGH
Bill's BBQ,4414 N 24th,STANDARD,10/16/18,HIGH
Bill's Convenience Store,3928 Maple ST,EXCELLENT,11/21/17,LOW
Billy Buck's Smokehouse,30801 E Park Hwy,EXCELLENT,7/28/18,MEDIUM
BILLY FROGG'S,1120 Howard ST,EXCELLENT,1/9/19,HIGH
BILLY K'S CAFE,12025 Blondo,FAIR,1/8/19,HIGH
BILLY O'S LOUNGE,14241 Fort St # 102&103,EXCELLENT,2/14/18,LOW
BILLY'S CAFE,5015 Grover,STANDARD,8/1/18,HIGH
BILLY'S MIRACLE HILLS CAFÉ,627 N 114th ST,STANDARD,9/5/18,HIGH
BIMBO BAKERIES USA  INC ,5717 N 72nd,EXCELLENT,7/11/18,LOW
BIRRICRIA EL CHALAN,4518 S 24th ST,EXCELLENT,12/26/18,HIGH
Bistro 1887,17475 Frances St,STANDARD,11/2/18,HIGH
Black & White Catering,4150 S 144 St,STANDARD,,HIGH
BLACK BOTTOM BISCOTTI,4724 N 24th ST,EXCELLENT,10/10/18,MEDIUM
BLACK ELK ELEMENTARY,6708 S 161st AVE,SUPERIOR,9/10/18,HIGH
Black Oak Grill #114, 220 S 31st Ave  #3107 ,EXCELLENT,1/16/19,HIGH
Blackburn,2606 Hamilton St,SUPERIOR,9/24/18,HIGH
BLACKSTONE MEATBALL The,3910 HARNEY ST,STANDARD,1/3/19,HIGH
BLACKSTONE SOCIAL,3910 FARNAM ST,EXCELLENT,5/3/18,LOW
Blatt Beer & Table Legacy,2835 S 170th Plz,EXCELLENT,12/27/18,HIGH
Blatt Beer and Table,610 N 12 ST,EXCELLENT,10/15/18,HIGH
Blatt Beer and Table,10000 California St SFC01,EXCELLENT,10/23/18,HIGH
BLAZIN' PIANOS,15244 WEST MAPLE RD,EXCELLENT,10/25/18,LOW
BLIMPIE SUBS & SALADS,13831 R PLZ,EXCELLENT,8/17/18,MEDIUM
BLIND DAVE'S BAR,5082 S 136 ST,EXCELLENT,5/22/18,LOW
BLOCK 16,1611 FARNAM ST,EXCELLENT,10/16/18,HIGH
BLONDO CONVENIENT FOOD MART,6606 BLONDO ST,EXCELLENT,12/4/18,LOW
Bloomfield Residence LLC,9804 NICHOLAS ST,EXCELLENT,8/24/18,HIGH
Blue And Fly Asian Kitchen,721 S 72 ST STE 111,STANDARD,9/4/18,HIGH
BLUE CHIP ULTRA LOUNGE,14805 W MAPLE RD,EXCELLENT,10/13/17,LOW
BLUE CROSS BLUE SHIELD,1919 AKSARBEN RD,EXCELLENT,1/10/19,HIGH
BLUE LINE COFFEE,4924 UNDERWOOD,EXCELLENT,5/8/18,LOW
BLUE LINE COFFEE,615 N 33 ST,EXCELLENT,5/30/18,LOW
