Name,Address,RATING,CURRENT,RISK
HOMY INN,1510 N SADDLE CREEK RD,STANDARD,01/22/18,LOW
HOPE SKATE,2200 N 20 ST,EXCELLENT,08/28/17,LOW
HOWELL'S AMOCO,7166 N 30 ST,STANDARD,09/06/18,LOW
Hamilton Food Mart,4901 HAMILTON ST,STANDARD,12/29/17,LOW
IMMANUEL VILLAGE STORE,6803 N 68 PLZ,EXCELLENT,11/01/17,LOW
INTERLUDE LOUNGE,7643 PACIFIC ST,STANDARD,10/16/17,LOW
J D's Circle In,3602 S 31st,STANDARD,02/09/18,LOW
JAKE'S MINI MART,8320 BLONDO ST,STANDARD,01/17/18,LOW
JERRY'S BAR,6301 MILITARY AVE,STANDARD,11/08/17,LOW
JESSE'S PLACE,2311 N 24 ST,EXCELLENT,08/04/17,LOW
JOSEPHINE'S COZY CORNER INC,2201 PIERCE ST,STANDARD,01/11/19,LOW
JUBA GROCERY,1138 NW RADIAL HWY,STANDARD,06/08/18,LOW
Jack's Discount Tobacco & Liquor,721 N 120TH ST,STANDARD,11/06/18,LOW
Jake's Cigars and Spirits,6206 MAPLE ST,EXCELLENT,09/27/17,LOW
Jalali Mart,2604 S 13th St,STANDARD,09/07/17,LOW
KELCEY'S,2529 RIVER RD DR-WATERLOO,STANDARD,01/18/18,LOW
KENDALL TAVERN,6310 GILMORE AVE,STANDARD,09/28/18,LOW
KNJ Express,3009 Parker ST,STANDARD,08/28/18,LOW
Kellys Package Liquor,3501 N 30th St,STANDARD,10/02/17,LOW
Kiewit,12720 I ST,STANDARD,08/10/17,LOW
Knolls Golf Course,11630 Sahler ST,EXCELLENT,09/20/17,LOW
Ko Zee Lounge,5813 N 60 ST,STANDARD,10/01/18,LOW
Krug Park,6205 MAPLE ST,EXCELLENT,09/19/17,LOW
LIBRARY PUB,5142 N 90 ST,STANDARD,12/06/17,LOW
LITTLE POLONIA BAR,3804 Q ST,EXCELLENT,06/05/17,LOW
La Economica,5520 S 36th ST,STANDARD,11/19/18,LOW
Lookout Lounge,320 S 72 ST,STANDARD,08/17/18,LOW
Lothrop Social Hall,3232 N 24th ST,STANDARD,06/22/18,LOW
Love's Jazz & Art Center,2510 N 24th ST,EXCELLENT,10/06/17,LOW
MIDTOWN GAS,1349 PARK AVE,STANDARD,11/08/18,LOW
MILT'S GOLF CENTER INC.,6402 Q ST,STANDARD,10/17/17,LOW
MINABELLA BEAUTY RESORT,366 N 114 ST,STANDARD,10/10/17,LOW
MY WAY LOUNGE,2425 N 84 ST,STANDARD,03/08/18,LOW
Mega Saver,5101 S 24th ST,FAIR,11/16/18,LOW
Midtown Gas & Grocery,1222 S 24th St,STANDARD,01/14/19,LOW
Millionaire Minds/Reign Lounge,8919 N 30th St,EXCELLENT,08/25/17,LOW
Miracle Hill Golf & Tennis,1401 N 120th ST,EXCELLENT,11/14/17,LOW
Mister Toad/Abco Corp,1002 Howard ST,STANDARD,01/18/18,LOW
